seed,staffing_factor,method,employee_id,wochenenden,richtwert
20261133,0.8,MILP,PK-008,2,2
20261133,0.8,MILP,PK-009,2,2
20261133,0.8,MILP,PK-010,2,2
20261133,0.8,MILP,PK-011,2,2
20261133,0.8,MILP,PK-012,2,2
20261133,0.8,MILP,PK-013,2,2
20261133,0.8,MILP,PK-014,0,2
4711,1.0,Regelbasiert,AZ-001,4,2
4711,1.0,Regelbasiert,AZ-002,4,2
4711,1.0,Regelbasiert,AZ-003,4,2
4711,1.0,Regelbasiert,PH-001,2,2
4711,1.0,Regelbasiert,PH-002,2,2
4711,1.0,Regelbasiert,PK-001,3,2
4711,1.0,Regelbasiert,PK-002,4,2
4711,1.0,Regelbasiert,PK-003,4,2
4711,1.0,Regelbasiert,PK-004,3,2
4711,1.0,Regelbasiert,PK-005,3,2
4711,1.0,Regelbasiert,PK-006,4,2
4711,1.0,Regelbasiert,PK-007,2,2
4711,1.0,Regelbasiert,PK-008,4,2
4711,1.0,Regelbasiert,PK-009,4,2
4711,1.0,Regelbasiert,PK-010,3,2
4711,1.0,Regelbasiert,PK-011,3,2
4711,1.0,Regelbasiert,PK-012,3,2
4711,1.0,Regelbasiert,PK-013,2,2
4711,1.0,Regelbasiert,PK-014,4,2
4711,1.0,Regelbasiert,PK-015,3,2
4711,1.0,Regelbasiert,PK-016,3,2
4711,1.0,Regelbasiert,PK-017,0,2
4711,1.0,MILP,AZ-001,2,2
4711,1.0,MILP,AZ-002,2,2
4711,1.0,MILP,AZ-003,2,2
4711,1.0,MILP,PH-001,2,2
4711,1.0,MILP,PH-002,2,2
4711,1.0,MILP,PK-001,2,2
4711,1.0,MILP,PK-002,2,2
4711,1.0,MILP,PK-003,2,2
4711,1.0,MILP,PK-004,2,2
4711,1.0,MILP,PK-005,2,2
4711,1.0,MILP,PK-006,2,2
4711,1.0,MILP,PK-007,2,2
4711,1.0,MILP,PK-008,2,2
4711,1.0,MILP,PK-009,2,2
4711,1.0,MILP,PK-010,2,2
4711,1.0,MILP,PK-011,2,2
4711,1.0,MILP,PK-012,2,2
4711,1.0,MILP,PK-013,2,2
4711,1.0,MILP,PK-014,2,2
4711,1.0,MILP,PK-015,2,2
4711,1.0,MILP,PK-016,2,2
4711,1.0,MILP,PK-017,0,2
4711,0.9,Regelbasiert,AZ-001,4,2
4711,0.9,Regelbasiert,AZ-002,4,2
4711,0.9,Regelbasiert,AZ-003,4,2
4711,0.9,Regelbasiert,PH-001,3,2
4711,0.9,Regelbasiert,PH-002,2,2
4711,0.9,Regelbasiert,PK-001,1,2
4711,0.9,Regelbasiert,PK-002,3,2
4711,0.9,Regelbasiert,PK-003,4,2
4711,0.9,Regelbasiert,PK-004,2,2
4711,0.9,Regelbasiert,PK-005,4,2
4711,0.9,Regelbasiert,PK-006,4,2
4711,0.9,Regelbasiert,PK-007,3,2
4711,0.9,Regelbasiert,PK-008,2,2
4711,0.9,Regelbasiert,PK-009,4,2
4711,0.9,Regelbasiert,PK-010,3,2
4711,0.9,Regelbasiert,PK-011,3,2
4711,0.9,Regelbasiert,PK-012,4,2
4711,0.9,Regelbasiert,PK-013,3,2
4711,0.9,Regelbasiert,PK-014,4,2
4711,0.9,Regelbasiert,PK-015,0,2
4711,0.9,MILP,AZ-001,2,2
4711,0.9,MILP,AZ-002,2,2
4711,0.9,MILP,AZ-003,2,2
4711,0.9,MILP,PH-001,2,2
4711,0.9,MILP,PH-002,2,2
4711,0.9,MILP,PK-001,2,2
4711,0.9,MILP,PK-002,2,2
4711,0.9,MILP,PK-003,2,2
4711,0.9,MILP,PK-004,2,2
4711,0.9,MILP,PK-005,2,2
4711,0.9,MILP,PK-006,2,2
4711,0.9,MILP,PK-007,2,2
4711,0.9,MILP,PK-008,2,2
4711,0.9,MILP,PK-009,2,2
4711,0.9,MILP,PK-010,2,2
4711,0.9,MILP,PK-011,2,2
4711,0.9,MILP,PK-012,2,2
4711,0.9,MILP,PK-013,2,2
4711,0.9,MILP,PK-014,2,2
4711,0.9,MILP,PK-015,0,2
4711,0.8,Regelbasiert,AZ-001,3,2
4711,0.8,Regelbasiert,AZ-002,4,2
4711,0.8,Regelbasiert,AZ-003,4,2
4711,0.8,Regelbasiert,PH-001,3,2
4711,0.8,Regelbasiert,PH-002,2,2
4711,0.8,Regelbasiert,PK-001,3,2
4711,0.8,Regelbasiert,PK-002,2,2
4711,0.8,Regelbasiert,PK-003,3,2
4711,0.8,Regelbasiert,PK-004,3,2
4711,0.8,Regelbasiert,PK-005,4,2
4711,0.8,Regelbasiert,PK-006,3,2
4711,0.8,Regelbasiert,PK-007,4,2
4711,0.8,Regelbasiert,PK-008,3,2
4711,0.8,Regelbasiert,PK-009,3,2
4711,0.8,Regelbasiert,PK-010,4,2
4711,0.8,Regelbasiert,PK-011,2,2
4711,0.8,Regelbasiert,PK-012,4,2
4711,0.8,Regelbasiert,PK-013,0,2
4711,0.8,MILP,AZ-001,2,2
4711,0.8,MILP,AZ-002,2,2
4711,0.8,MILP,AZ-003,2,2
4711,0.8,MILP,PH-001,2,2
4711,0.8,MILP,PH-002,2,2
4711,0.8,MILP,PK-001,2,2
4711,0.8,MILP,PK-002,2,2
4711,0.8,MILP,PK-003,2,2
4711,0.8,MILP,PK-004,2,2
4711,0.8,MILP,PK-005,2,2
4711,0.8,MILP,PK-006,2,2
4711,0.8,MILP,PK-007,4,2
4711,0.8,MILP,PK-008,2,2
4711,0.8,MILP,PK-009,2,2
4711,0.8,MILP,PK-010,3,2
4711,0.8,MILP,PK-011,2,2
4711,0.8,MILP,PK-012,3,2
4711,0.8,MILP,PK-013,0,2
20260906,1.0,Regelbasiert,AZ-001,4,2
20260906,1.0,Regelbasiert,AZ-002,4,2
20260906,1.0,Regelbasiert,AZ-003,4,2
20260906,1.0,Regelbasiert,PH-001,3,2
20260906,1.0,Regelbasiert,PH-002,2,2
20260906,1.0,Regelbasiert,PK-001,2,2
20260906,1.0,Regelbasiert,PK-002,2,2
20260906,1.0,Regelbasiert,PK-003,2,2
20260906,1.0,Regelbasiert,PK-004,3,2
20260906,1.0,Regelbasiert,PK-005,3,2
20260906,1.0,Regelbasiert,PK-006,4,2
20260906,1.0,Regelbasiert,PK-007,4,2
20260906,1.0,Regelbasiert,PK-008,3,2
20260906,1.0,Regelbasiert,PK-009,4,2
20260906,1.0,Regelbasiert,PK-010,2,2
20260906,1.0,Regelbasiert,PK-011,3,2
20260906,1.0,Regelbasiert,PK-012,4,2
20260906,1.0,Regelbasiert,PK-013,2,2
20260906,1.0,Regelbasiert,PK-014,4,2
20260906,1.0,Regelbasiert,PK-015,4,2
20260906,1.0,Regelbasiert,PK-016,2,2
20260906,1.0,Regelbasiert,PK-017,0,2
20260906,1.0,MILP,AZ-001,2,2
20260906,1.0,MILP,AZ-002,2,2
20260906,1.0,MILP,AZ-003,2,2
20260906,1.0,MILP,PH-001,2,2
20260906,1.0,MILP,PH-002,2,2
20260906,1.0,MILP,PK-001,2,2
20260906,1.0,MILP,PK-002,2,2
20260906,1.0,MILP,PK-003,2,2
20260906,1.0,MILP,PK-004,2,2
20260906,1.0,MILP,PK-005,2,2
20260906,1.0,MILP,PK-006,2,2
20260906,1.0,MILP,PK-007,2,2
20260906,1.0,MILP,PK-008,2,2
20260906,1.0,MILP,PK-009,2,2
20260906,1.0,MILP,PK-010,2,2
20260906,1.0,MILP,PK-011,2,2
20260906,1.0,MILP,PK-012,2,2
20260906,1.0,MILP,PK-013,2,2
20260906,1.0,MILP,PK-014,2,2
20260906,1.0,MILP,PK-015,2,2
20260906,1.0,MILP,PK-016,1,2
20260906,1.0,MILP,PK-017,0,2
20260906,0.9,Regelbasiert,AZ-001,3,2
20260906,0.9,Regelbasiert,AZ-002,3,2
20260906,0.9,Regelbasiert,AZ-003,2,2
20260906,0.9,Regelbasiert,PH-001,4,2
20260906,0.9,Regelbasiert,PH-002,2,2
20260906,0.9,Regelbasiert,PK-001,2,2
20260906,0.9,Regelbasiert,PK-002,2,2
20260906,0.9,Regelbasiert,PK-003,2,2
20260906,0.9,Regelbasiert,PK-004,3,2
20260906,0.9,Regelbasiert,PK-005,4,2
20260906,0.9,Regelbasiert,PK-006,2,2
20260906,0.9,Regelbasiert,PK-007,4,2
20260906,0.9,Regelbasiert,PK-008,4,2
20260906,0.9,Regelbasiert,PK-009,4,2
20260906,0.9,Regelbasiert,PK-010,4,2
20260906,0.9,Regelbasiert,PK-011,2,2
20260906,0.9,Regelbasiert,PK-012,4,2
20260906,0.9,Regelbasiert,PK-013,3,2
20260906,0.9,Regelbasiert,PK-014,4,2
20260906,0.9,Regelbasiert,PK-015,0,2
20260906,0.9,MILP,AZ-001,2,2
20260906,0.9,MILP,AZ-002,2,2
20260906,0.9,MILP,AZ-003,2,2
20260906,0.9,MILP,PH-001,2,2
20260906,0.9,MILP,PH-002,2,2
20260906,0.9,MILP,PK-001,2,2
20260906,0.9,MILP,PK-002,2,2
20260906,0.9,MILP,PK-003,2,2
20260906,0.9,MILP,PK-004,2,2
20260906,0.9,MILP,PK-005,2,2
20260906,0.9,MILP,PK-006,2,2
20260906,0.9,MILP,PK-007,2,2
20260906,0.9,MILP,PK-008,2,2
20260906,0.9,MILP,PK-009,2,2
20260906,0.9,MILP,PK-010,2,2
20260906,0.9,MILP,PK-011,2,2
20260906,0.9,MILP,PK-012,2,2
20260906,0.9,MILP,PK-013,2,2
20260906,0.9,MILP,PK-014,2,2
20260906,0.9,MILP,PK-015,0,2
20260906,0.8,Regelbasiert,AZ-001,4,2
20260906,0.8,Regelbasiert,AZ-002,3,2
20260906,0.8,Regelbasiert,AZ-003,4,2
20260906,0.8,Regelbasiert,PH-001,2,2
20260906,0.8,Regelbasiert,PH-002,3,2
20260906,0.8,Regelbasiert,PK-001,2,2
20260906,0.8,Regelbasiert,PK-002,2,2
20260906,0.8,Regelbasiert,PK-003,3,2
20260906,0.8,Regelbasiert,PK-004,2,2
20260906,0.8,Regelbasiert,PK-005,4,2
20260906,0.8,Regelbasiert,PK-006,4,2
20260906,0.8,Regelbasiert,PK-007,3,2
20260906,0.8,Regelbasiert,PK-008,4,2
20260906,0.8,Regelbasiert,PK-009,2,2
20260906,0.8,Regelbasiert,PK-010,4,2
20260906,0.8,Regelbasiert,PK-011,3,2
20260906,0.8,Regelbasiert,PK-012,4,2
20260906,0.8,Regelbasiert,PK-013,0,2
20260906,0.8,MILP,AZ-001,2,2
20260906,0.8,MILP,AZ-002,2,2
20260906,0.8,MILP,AZ-003,2,2
20260906,0.8,MILP,PH-001,2,2
20260906,0.8,MILP,PH-002,2,2
20260906,0.8,MILP,PK-001,2,2
20260906,0.8,MILP,PK-002,2,2
20260906,0.8,MILP,PK-003,2,2
20260906,0.8,MILP,PK-004,2,2
20260906,0.8,MILP,PK-005,3,2
20260906,0.8,MILP,PK-006,3,2
20260906,0.8,MILP,PK-007,3,2
20260906,0.8,MILP,PK-008,2,2
20260906,0.8,MILP,PK-009,2,2
20260906,0.8,MILP,PK-010,3,2
20260906,0.8,MILP,PK-011,2,2
20260906,0.8,MILP,PK-012,2,2
20260906,0.8,MILP,PK-013,0,2
777,1.0,Regelbasiert,AZ-001,4,2
777,1.0,Regelbasiert,AZ-002,4,2
777,1.0,Regelbasiert,AZ-003,4,2
777,1.0,Regelbasiert,PH-001,3,2
777,1.0,Regelbasiert,PH-002,4,2
777,1.0,Regelbasiert,PK-001,3,2
777,1.0,Regelbasiert,PK-002,1,2
777,1.0,Regelbasiert,PK-003,4,2
777,1.0,Regelbasiert,PK-004,4,2
777,1.0,Regelbasiert,PK-005,3,2
777,1.0,Regelbasiert,PK-006,2,2
777,1.0,Regelbasiert,PK-007,3,2
777,1.0,Regelbasiert,PK-008,2,2
777,1.0,Regelbasiert,PK-009,2,2
777,1.0,Regelbasiert,PK-010,3,2
777,1.0,Regelbasiert,PK-011,3,2
777,1.0,Regelbasiert,PK-012,4,2
777,1.0,Regelbasiert,PK-013,4,2
777,1.0,Regelbasiert,PK-014,3,2
777,1.0,Regelbasiert,PK-015,4,2
777,1.0,Regelbasiert,PK-016,3,2
777,1.0,Regelbasiert,PK-017,0,2
777,1.0,MILP,AZ-001,2,2
777,1.0,MILP,AZ-002,2,2
777,1.0,MILP,AZ-003,2,2
777,1.0,MILP,PH-001,2,2
777,1.0,MILP,PH-002,2,2
777,1.0,MILP,PK-001,2,2
777,1.0,MILP,PK-002,2,2
777,1.0,MILP,PK-003,2,2
777,1.0,MILP,PK-004,2,2
777,1.0,MILP,PK-005,2,2
777,1.0,MILP,PK-006,2,2
777,1.0,MILP,PK-007,2,2
777,1.0,MILP,PK-008,2,2
777,1.0,MILP,PK-009,2,2
777,1.0,MILP,PK-010,2,2
777,1.0,MILP,PK-011,2,2
777,1.0,MILP,PK-012,2,2
777,1.0,MILP,PK-013,2,2
777,1.0,MILP,PK-014,2,2
777,1.0,MILP,PK-015,2,2
777,1.0,MILP,PK-016,2,2
777,1.0,MILP,PK-017,0,2
777,0.9,Regelbasiert,AZ-001,4,2
777,0.9,Regelbasiert,AZ-002,3,2
777,0.9,Regelbasiert,AZ-003,4,2
777,0.9,Regelbasiert,PH-001,3,2
777,0.9,Regelbasiert,PH-002,3,2
777,0.9,Regelbasiert,PK-001,3,2
777,0.9,Regelbasiert,PK-002,3,2
777,0.9,Regelbasiert,PK-003,4,2
777,0.9,Regelbasiert,PK-004,4,2
777,0.9,Regelbasiert,PK-005,3,2
777,0.9,Regelbasiert,PK-006,4,2
777,0.9,Regelbasiert,PK-007,4,2
777,0.9,Regelbasiert,PK-008,3,2
777,0.9,Regelbasiert,PK-009,4,2
777,0.9,Regelbasiert,PK-010,2,2
777,0.9,Regelbasiert,PK-011,4,2
777,0.9,Regelbasiert,PK-012,4,2
777,0.9,Regelbasiert,PK-013,3,2
777,0.9,Regelbasiert,PK-014,3,2
777,0.9,Regelbasiert,PK-015,0,2
777,0.9,MILP,AZ-001,2,2
777,0.9,MILP,AZ-002,2,2
777,0.9,MILP,AZ-003,2,2
777,0.9,MILP,PH-001,2,2
777,0.9,MILP,PH-002,2,2
777,0.9,MILP,PK-001,2,2
777,0.9,MILP,PK-002,2,2
777,0.9,MILP,PK-003,2,2
777,0.9,MILP,PK-004,3,2
777,0.9,MILP,PK-005,2,2
777,0.9,MILP,PK-006,2,2
777,0.9,MILP,PK-007,2,2
777,0.9,MILP,PK-008,2,2
777,0.9,MILP,PK-009,2,2
777,0.9,MILP,PK-010,2,2
777,0.9,MILP,PK-011,2,2
777,0.9,MILP,PK-012,2,2
777,0.9,MILP,PK-013,2,2
777,0.9,MILP,PK-014,2,2
777,0.9,MILP,PK-015,0,2
777,0.8,Regelbasiert,AZ-001,4,2
777,0.8,Regelbasiert,AZ-002,2,2
777,0.8,Regelbasiert,AZ-003,4,2
777,0.8,Regelbasiert,PH-001,2,2
777,0.8,Regelbasiert,PH-002,2,2
777,0.8,Regelbasiert,PK-001,3,2
777,0.8,Regelbasiert,PK-002,3,2
777,0.8,Regelbasiert,PK-003,4,2
777,0.8,Regelbasiert,PK-004,3,2
777,0.8,Regelbasiert,PK-005,3,2
777,0.8,Regelbasiert,PK-006,3,2
777,0.8,Regelbasiert,PK-007,4,2
777,0.8,Regelbasiert,PK-008,3,2
777,0.8,Regelbasiert,PK-009,3,2
777,0.8,Regelbasiert,PK-010,4,2
777,0.8,Regelbasiert,PK-011,4,2
777,0.8,Regelbasiert,PK-012,3,2
777,0.8,Regelbasiert,PK-013,0,2
777,0.8,MILP,AZ-001,2,2
777,0.8,MILP,AZ-002,2,2
777,0.8,MILP,AZ-003,2,2
777,0.8,MILP,PH-001,2,2
777,0.8,MILP,PH-002,2,2
777,0.8,MILP,PK-001,2,2
777,0.8,MILP,PK-002,2,2
777,0.8,MILP,PK-003,3,2
777,0.8,MILP,PK-004,3,2
777,0.8,MILP,PK-005,3,2
777,0.8,MILP,PK-006,2,2
777,0.8,MILP,PK-007,2,2
777,0.8,MILP,PK-008,2,2
777,0.8,MILP,PK-009,2,2
777,0.8,MILP,PK-010,3,2
777,0.8,MILP,PK-011,2,2
777,0.8,MILP,PK-012,2,2
777,0.8,MILP,PK-013,0,2
31415,1.0,Regelbasiert,AZ-001,4,2
31415,1.0,Regelbasiert,AZ-002,4,2
31415,1.0,Regelbasiert,AZ-003,4,2
31415,1.0,Regelbasiert,PH-001,4,2
31415,1.0,Regelbasiert,PH-002,4,2
31415,1.0,Regelbasiert,PK-001,3,2
31415,1.0,Regelbasiert,PK-002,4,2
31415,1.0,Regelbasiert,PK-003,4,2
31415,1.0,Regelbasiert,PK-004,4,2
31415,1.0,Regelbasiert,PK-005,2,2
31415,1.0,Regelbasiert,PK-006,3,2
31415,1.0,Regelbasiert,PK-007,3,2
31415,1.0,Regelbasiert,PK-008,4,2
31415,1.0,Regelbasiert,PK-009,4,2
31415,1.0,Regelbasiert,PK-010,2,2
31415,1.0,Regelbasiert,PK-011,2,2
31415,1.0,Regelbasiert,PK-012,3,2
31415,1.0,Regelbasiert,PK-013,2,2
31415,1.0,Regelbasiert,PK-014,4,2
31415,1.0,Regelbasiert,PK-015,3,2
31415,1.0,Regelbasiert,PK-016,4,2
31415,1.0,Regelbasiert,PK-017,0,2
31415,1.0,MILP,AZ-001,2,2
31415,1.0,MILP,AZ-002,2,2
31415,1.0,MILP,AZ-003,2,2
31415,1.0,MILP,PH-001,2,2
31415,1.0,MILP,PH-002,2,2
31415,1.0,MILP,PK-001,2,2
31415,1.0,MILP,PK-002,2,2
31415,1.0,MILP,PK-003,2,2
31415,1.0,MILP,PK-004,2,2
31415,1.0,MILP,PK-005,2,2
31415,1.0,MILP,PK-006,2,2
31415,1.0,MILP,PK-007,2,2
31415,1.0,MILP,PK-008,2,2
31415,1.0,MILP,PK-009,2,2
31415,1.0,MILP,PK-010,2,2
31415,1.0,MILP,PK-011,2,2
31415,1.0,MILP,PK-012,2,2
31415,1.0,MILP,PK-013,2,2
31415,1.0,MILP,PK-014,2,2
31415,1.0,MILP,PK-015,2,2
31415,1.0,MILP,PK-016,2,2
31415,1.0,MILP,PK-017,0,2
31415,0.9,Regelbasiert,AZ-001,4,2
31415,0.9,Regelbasiert,AZ-002,4,2
31415,0.9,Regelbasiert,AZ-003,4,2
31415,0.9,Regelbasiert,PH-001,3,2
31415,0.9,Regelbasiert,PH-002,3,2
31415,0.9,Regelbasiert,PK-001,3,2
31415,0.9,Regelbasiert,PK-002,4,2
31415,0.9,Regelbasiert,PK-003,2,2
31415,0.9,Regelbasiert,PK-004,4,2
31415,0.9,Regelbasiert,PK-005,4,2
31415,0.9,Regelbasiert,PK-006,2,2
31415,0.9,Regelbasiert,PK-007,4,2
31415,0.9,Regelbasiert,PK-008,3,2
31415,0.9,Regelbasiert,PK-009,3,2
31415,0.9,Regelbasiert,PK-010,3,2
31415,0.9,Regelbasiert,PK-011,4,2
31415,0.9,Regelbasiert,PK-012,4,2
31415,0.9,Regelbasiert,PK-013,4,2
31415,0.9,Regelbasiert,PK-014,2,2
31415,0.9,Regelbasiert,PK-015,0,2
31415,0.9,MILP,AZ-001,2,2
31415,0.9,MILP,AZ-002,2,2
31415,0.9,MILP,AZ-003,2,2
31415,0.9,MILP,PH-001,2,2
31415,0.9,MILP,PH-002,2,2
31415,0.9,MILP,PK-001,2,2
31415,0.9,MILP,PK-002,2,2
31415,0.9,MILP,PK-003,2,2
31415,0.9,MILP,PK-004,2,2
31415,0.9,MILP,PK-005,2,2
31415,0.9,MILP,PK-006,2,2
31415,0.9,MILP,PK-007,2,2
31415,0.9,MILP,PK-008,2,2
31415,0.9,MILP,PK-009,2,2
31415,0.9,MILP,PK-010,2,2
31415,0.9,MILP,PK-011,2,2
31415,0.9,MILP,PK-012,2,2
31415,0.9,MILP,PK-013,2,2
31415,0.9,MILP,PK-014,2,2
31415,0.9,MILP,PK-015,0,2
31415,0.8,Regelbasiert,AZ-001,4,2
31415,0.8,Regelbasiert,AZ-002,4,2
31415,0.8,Regelbasiert,AZ-003,4,2
31415,0.8,Regelbasiert,PH-001,3,2
31415,0.8,Regelbasiert,PH-002,3,2
31415,0.8,Regelbasiert,PK-001,3,2
31415,0.8,Regelbasiert,PK-002,3,2
31415,0.8,Regelbasiert,PK-003,4,2
31415,0.8,Regelbasiert,PK-004,4,2
31415,0.8,Regelbasiert,PK-005,4,2
31415,0.8,Regelbasiert,PK-006,3,2
31415,0.8,Regelbasiert,PK-007,3,2
31415,0.8,Regelbasiert,PK-008,3,2
31415,0.8,Regelbasiert,PK-009,3,2
31415,0.8,Regelbasiert,PK-010,3,2
31415,0.8,Regelbasiert,PK-011,2,2
31415,0.8,Regelbasiert,PK-012,3,2
31415,0.8,Regelbasiert,PK-013,3,2
31415,0.8,Regelbasiert,PK-014,0,2
31415,0.8,MILP,AZ-001,2,2
31415,0.8,MILP,AZ-002,2,2
31415,0.8,MILP,AZ-003,2,2
31415,0.8,MILP,PH-001,2,2
31415,0.8,MILP,PH-002,2,2
31415,0.8,MILP,PK-001,2,2
31415,0.8,MILP,PK-002,2,2
31415,0.8,MILP,PK-003,3,2
31415,0.8,MILP,PK-004,2,2
31415,0.8,MILP,PK-005,3,2
31415,0.8,MILP,PK-006,2,2
31415,0.8,MILP,PK-007,2,2
31415,0.8,MILP,PK-008,2,2
31415,0.8,MILP,PK-009,2,2
31415,0.8,MILP,PK-010,2,2
31415,0.8,MILP,PK-011,2,2
31415,0.8,MILP,PK-012,2,2
31415,0.8,MILP,PK-013,2,2
31415,0.8,MILP,PK-014,0,2
